Lionel|1173087317|ABC123|123|12|12|12
Lionel|1173087317|ABC123|123|12|12|12
Lionel|1173087317|ABC123|1234|123|123|12
Lionel|1173087317|ABC123|121212|12|30|123
Lionel|1173087317|ABC123|1015724736|12|25|123
Lionel Seow|1173087317|ABC123|1015724736|12|27|123
Lionel Seow|1173087317|ABC123|1015724736|12|27|123
Lionel Seow|1173087317|ABC123|1015724736|12|26|123
Lionel Seow|1173087317|ABC123|1015724736|12|27|123
Lionel Seow|1173087317|ABC123|1015724736|12|27|123
Badrul Haziq|1922142430|ABC456|1015724736|12|27|123
Lionel Seow|1173087317|ABC123|1015724736|12|26|123
Lionel Seow|1173087317|ABC123|1015724736|12|27|123
